run_id,goal,start_position,success,final_bias,collision_count,failure_reason,run_time,final_position,steps,path_length,min_dist_to_obstacle,sum_closest_distances,mean_closest_distance,std_closest_distance
1,"[-2.4063618636253548, 6.389410309822583, 1.0]","[-14.999925064695407, 0.00042963669027907723, 0.9061021078116159]",True,0.991553636447153,0,,22.834000000000003,"[-3.0888497014226637, 5.671070328664874, 0.962896945130232]",130,14.62205968002587,0.5025121728765299,148.67566298324016,1.4867566298324013,1.0350017784361645
2,"[-1.8561478378818919, -13.748139276991152, 1.0]","[-2.1941794854488643, 6.261947991985694, 0.962896945130232]",True,0.9772139091082443,0,,29.006999999999998,"[-1.9586248981634515, -12.777021961941113, 0.962896945130232]",147,20.82275373968881,0.45707347066569315,203.58222527803161,1.3849130971294663,0.8555413354795985
3,"[1.4731391746626894, 6.0362868559250416, 1.0]","[-1.8476387069700075, -13.800929031780147, 0.962896945130232]",False,3.9739832592114963,0,timeout,120.01600000000002,"[2.0520155177963266, 9.967707526264554, 0.962896945130232]",599,44.63454529904926,0.2608757612427229,1262.1051830902982,2.1500940086717173,0.8530842425561844
4,"[13.543865331396624, 1.3697352260959477, 1.0]","[2.3526769222727553, 10.328326024898692, 0.962896945130232]",True,0.9668669190703026,0,,30.794999999999987,"[12.66187799530299, 1.764137738109102, 0.962896945130232]",157,18.814254121552484,0.0,196.19354485319266,1.2496404130776606,0.6982729510705941
5,"[-8.062198038397554, 10.751236879143917, 1.0]","[13.62450012099864, 1.3742238656052415, 0.962896945130232]",True,0.9604608588280708,0,,44.93899999999999,"[-8.922106415574445, 10.32501392396542, 0.962896945130232]",226,31.06139586968648,0.0,318.86103048049955,1.4108895154004395,1.10590540953834
6,"[11.392944391644047, -4.872585646265861, 1.0]","[-8.281332377578028, 10.632758360436497, 0.962896945130232]",True,0.9789251329504793,0,,39.59100000000001,"[10.485693071233692, -5.238389994046355, 0.962896945130232]",189,28.674179637684492,0.0,181.1090545451055,0.9582489658471189,0.37569144225723
7,"[-12.287059608155243, 8.117644974963323, 1.0]","[11.520434616784586, -4.925940809778141, 0.962896945130232]",True,0.9672348867025827,0,,43.81900000000002,"[-11.540491541266128, 8.731487634669651, 0.962896945130232]",212,32.5761235150812,0.18760006420723663,222.6652116909101,1.0503076023156137,0.46186490130470986
8,"[10.829452680962671, 13.58767922180703, 1.0]","[-12.344340373930766, 8.070651247940507, 0.962896945130232]",True,0.9461147734834676,0,,31.462999999999965,"[9.88422787231383, 13.570169537693241, 0.962896945130232]",178,23.51540406236005,0.0,378.47205133130086,2.3953927299449416,1.2906304599868992
9,"[-14.199149537314701, 0.05436317231342436, 1.0]","[10.891116444898959, 13.589248792250174, 0.962896945130232]",True,0.914634727081891,0,,36.658000000000015,"[-13.757395516376631, 0.8543840672208906, 0.962896945130232]",214,30.114423573719307,0.11638646775671857,437.604045457233,2.1771345545135965,1.1571344444459717
10,"[7.868298654735632, -13.898193468577357, 1.0]","[-14.228747722256015, 0.0006346326372232341, 0.962896945130232]",True,0.9509313313366154,0,,40.416,"[6.998800183853158, -13.514962246767341, 0.962896945130232]",215,27.885760840411212,0.22481905934023483,265.6029453711057,1.5177311164063183,1.2355164682694582
11,"[-9.272179022573694, -13.935217996858887, 1.0]","[7.930617470764207, -13.925079075806211, 0.962896945130232]",True,0.9516581824567305,0,,23.15100000000001,"[-8.321297682378958, -13.925151397351472, 0.962896945130232]",164,16.25478467226298,3.1066593861102567,221.04451005704541,3.684075167617424,0.4963753319608087
12,"[-10.029277570989501, 6.961441198946737, 1.0]","[-9.322059018763117, -13.935750065816215, 0.962896945130232]",True,0.9345141843871358,0,,27.827999999999975,"[-10.802769069886034, 6.438324552992052, 0.962896945130232]",163,20.909358235890895,0.7859087524933319,364.37339029190645,2.3357268608455537,0.926683377605104
13,"[8.053369906640786, -7.6113046189875435, 1.0]","[-10.005075044916168, 7.053733631642212, 0.962896945130232]",False,2.5325140327746105,2,timeout,120.09100000000001,"[10.029037964985873, -9.195282653164345, 0.962896945130232]",606,49.625737896905164,0.0,504.11685212867286,0.8318759936116716,0.6444927870775407
14,"[0.4043569694080169, 7.921786510299604, 1.0]","[10.232181388270416, -8.01059230348582, 0.962896945130232]",True,0.9595975278447413,1,,48.418000000000006,"[0.20356531406864067, 8.85940769708622, 0.962896945130232]",238,28.18563579650995,0.0,248.94228616785082,1.045975992301894,0.8800264533530209
15,"[10.11571322078878, -9.312018177291044, 1.0]","[0.4771039797009357, 8.698810869513856, 0.962896945130232]",True,0.969934292809449,0,,45.004999999999995,"[10.156100855332452, -8.34363564199672, 0.962896945130232]",207,29.014077159483016,0.2128586216794564,185.68451830589268,0.8970266584825733,0.32988576244419027
16,"[-8.024558704547374, 0.6717369006196066, 1.0]","[10.888165509427699, -9.51526938887196, 0.962896945130232]",True,0.9754515026973479,0,,50.89700000000005,"[-8.918434848468992, 1.0604713045018248, 0.962896945130232]",244,30.258521497621977,0.1767563038619374,197.17770452966477,0.8081053464330527,0.3774054454391129
17,"[-5.954714922073819, 0.8870159125535295, 1.0]","[-8.842085635809354, 0.9186045019204436, 0.962896945130232]",True,0.9595965055338601,0,,10.099000000000046,"[-6.847938968105494, 0.5383045414413566, 0.962896945130232]",52,2.2040803332301353,0.1617123049551351,20.080041666421558,0.3861546474311838,0.20846719989948964
18,"[4.36085301044816, 0.15814783831044466, 1.0]","[-5.95016092719052, 0.9969193863376553, 0.962896945130232]",False,5.650241305062253,0,timeout,120.14799999999991,"[9.98103858078838, -0.4226828803077183, 0.962896945130232]",497,24.46572742231039,0.09777339763301174,482.2046858853212,0.9702307563084931,0.28577889518241295
19,"[-11.671525549265905, 7.576241783570833, 1.0]","[9.70042764134682, -0.44901933126985205, 0.962896945130232]",True,0.9594181576072156,0,,34.18799999999999,"[-11.986010947760152, 6.670589809245336, 0.962896945130232]",153,26.273858960365388,0.4927077328622924,246.2140460245064,1.6092421308791276,1.118270812105403
20,"[2.5557932312409513, 11.53369810937312, 1.0]","[-11.652374509914313, 7.634055409628757, 0.962896945130232]",True,0.9375822472625522,0,,24.087999999999965,"[1.6738253131559313, 11.849635484765782, 0.962896945130232]",126,14.653059639456645,0.18353886315469364,241.89264941213617,1.9197829318423503,1.0353166040225694
21,"[-13.08697845653531, -6.115819866095311, 1.0]","[2.707521423973175, 11.62841567315885, 0.962896945130232]",True,0.9674815861579676,0,,34.776999999999816,"[-12.738180000610495, -5.214163823017612, 0.962896945130232]",171,25.652452494054376,0.11680818249832159,270.68480721667163,1.5829520889863835,0.8207594344852416
22,"[-8.454644416593563, -0.5312492088623895, 1.0]","[-13.113872901020587, -6.185720333543102, 0.962896945130232]",True,0.9518646224533533,0,,14.606999999999971,"[-9.40097464944553, -0.6267935084722477, 0.962896945130232]",86,6.828793854646637,0.5999470700817084,175.1202381513697,2.0362818389694146,1.0988032119796227
23,"[0.5016386315510886, 12.96191551062961, 1.0]","[-7.771168299018512, 0.044532240910729055, 0.962896945130232]",True,0.9358539856210217,0,,25.333999999999833,"[1.1711997686592754, 12.30912616528421, 0.962896945130232]",102,21.349597416197216,0.24387430492817108,140.23034438633917,1.4761088882772542,0.8768994069717094
24,"[13.340501796741638, 5.785849448537707, 1.0]","[0.4643329219629757, 13.004220198891522, 0.962896945130232]",True,0.987815453259293,0,,21.72499999999991,"[12.900593593609294, 6.669525580293039, 0.962896945130232]",121,15.689291698220215,1.0098103073396212,213.32976089754308,2.133297608975431,0.8948356004792092
25,"[10.733599962189146, 2.3860309315042336, 1.0]","[13.365300316857777, 5.735912637772176, 0.962896945130232]",True,0.9335144892664555,0,,11.935000000000173,"[11.621147884171684, 2.099096529289684, 0.962896945130232]",66,4.318370201301817,1.6061567100108243,219.7649342603924,3.3809989886214216,1.0928360270111406
